,name
0,CPU AIR COOLER (พัดลมซีพียู) DEEPCOOL ICEEDGE MINI FS
1,CPU AIR COOLER (พัดลมซีพียู) CRYORIG R1 UNIVERSAL
2,CPU AIR COOLER (พัดลมซีพียู) ID COOLING SE-802
3,CPU AIR COOLER (พัดลมซีพียู) COOLER MASTER WRAITH RIPPER (AMD TR4)
4,CPU AIR COOLER (พัดลมซีพียู) NOCTUA NH-D15S
5,CPU AIR COOLER (พัดลมซีพียู) NOCTUA NH-U9S
6,CPU AIR COOLER (พัดลมซีพียู) DEEPCOOL FRYZEN (TR4)
7,CPU AIR COOLER (พัดลมซีพียู) COOLER MASTER MASTERAIR MA620M
8,CPU AIR COOLER (พัดลมซีพียู) COOLER MASTER MA410M TUF GAMING
9,CPU AIR COOLER (พัดลมซีพียู) SCYTHE KOTETSU MARK II RGB (BLACK)
10,CPU AIR COOLER (พัดลมซีพียู) JONSBO CR-1000 RGB
11,CPU AIR COOLER (พัดลมซีพียู) DEEPCOOL GAMMAXX GTE V2 WHITE
12,CPU AIR COOLER (พัดลมซีพียู) DEEPCOOL NEPTWIN RGB
13,CPU AIR COOLER (พัดลมซีพียู) DEEPCOOL GAMMAXX GT A-RGB
14,CPU AIR COOLER (พัดลมซีพียู) ID COOLING SE-913-R
15,CPU AIR COOLER (พัดลมซีพียู) DEEPCOOL GAMMAXX GTE V2
16,CPU AIR COOLER (พัดลมซีพียู) CORSAIR A500 DUAL FAN (CT-9010003-WW)
17,CPU AIR COOLER (พัดลมซีพียู) NOCTUA NH-D9 DX-3647 4U (FOR lNTEL XEON)
18,CPU AIR COOLER (พัดลมซีพียู) ID COOLING SE-234 ARGB
19,CPU AIR COOLER (พัดลมซีพียู) ID COOLING SE-224-XT BASIC
20,KEYBOARD (คีย์บอร์ด) LOGITECH K120 USB (BLACK)
21,KEYBOARD (คีย์บอร์ด) MD-TECH KB-333 B USB (EN/TH)
22,KEYBOARD (คีย์บอร์ด) MD-TECH KB-338 USB (SILVER-BLACK) (EN/TH)
23,KEYBOARD (คีย์บอร์ด) SIGNO KB-712 (RUBBER DOME) (ILLUMINATED)
24,KEYBOARD (คีย์บอร์ด) LOGITECH K200 USB MEDIA (BLACK)
