,index,Product_Name
0,0,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 15 X512DA-EJ139T (TRANSPARENT SILVER)
0,1,NOTEBOOK (โน้ตบุ๊ค) ACER ASPIRE 3 A315-55G-53CJ (BLACK)
0,2,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 15 X512DA-EJ142T (CORAL CRUSH)
0,3,NOTEBOOK (โน้ตบุ๊ค) HP 15S-FQ1012TU (SILVER)
0,4,NOTEBOOK (โน้ตบุ๊ค) DELL INSPIRON 7591-W567015001THW10 (SILVER)
0,5,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412FL-EK084T (TRANSPARENT SILVER)
0,6,NOTEBOOK (โน้ตบุ๊ค) LENOVO IDEAPAD S540-14IML-81NF002TTA (MINERAL GRAY)
0,7,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 15 X512DA-EJ767T (TRANSPARENT SILVER)
0,8,NOTEBOOK (โน้ตบุ๊ค) HP 14S-DK0110AU (SILVER)
0,9,NOTEBOOK (โน้ตบุ๊ค) ASUS LAPTOP 15 M509DA-EJ085T (SILVER)
0,10,NOTEBOOK (โน้ตบุ๊ค) DELL INSPIRON 7472-W56795261RTHW10 (GRAY)
0,11,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412FJ-EK217T (PEACOCK BLUE)
0,12,NOTEBOOK (โน้ตบุ๊ค) DELL INSPIRON 7472-W56795261RTHW10 (GOLD)
0,13,NOTEBOOK (โน้ตบุ๊ค) DELL INSPIRON 5391-W566051012PTHW10 (SILVER)
0,14,NOTEBOOK (โน้ตบุ๊ค) DELL XPS 13 9380-W56701607THW10 (SILVER)
0,15,NOTEBOOK (โน้ตบุ๊ค) DELL INSPIRON 3593-W566055131OPPTHW10 (BLACK)
0,16,NOTEBOOK (โน้ตบุ๊ค) ACER ASPIRE A315-53G-59ZG (BLACK)
0,17,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 15 X512DA-EJ769T (PEACOCK BLUE)
0,18,NOTEBOOK (โน้ตบุ๊ค) HP PAVILION 15-EC0033AX (ULTRA VIOLET)
0,19,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412FJ-EK215T (TRANSPARENT SILVER)
0,20,NOTEBOOK (โน้ตบุ๊ค) MICROSOFT SURFACE LAPTOP 2 - I5-8250U/8/128
0,21,NOTEBOOK (โน้ตบุ๊ค) ASUS LAPTOP 14 X409FA-BV017T (SLATE GRAY)
0,22,NOTEBOOK (โน้ตบุ๊ค) HP 14S-DQ0000TU (SILVER)
0,23,NOTEBOOK (โน้ตบุ๊ค) ASUS LAPTOP 14 X409FL-EK023T (SLATE GRAY)
0,24,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412FJ-EK216T (SLATE GRAY)
0,25,NOTEBOOK (โน้ตบุ๊ค) HUAWEI MATEBOOK X PRO MACH-W19B (SILVER)
0,26,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 15 X512DA-EJ768T (SLATE GRAY)
0,27,NOTEBOOK (โน้ตบุ๊ค) HP 15-DB1049AU (SILVER)
0,28,NOTEBOOK (โน้ตบุ๊ค) MICROSOFT SURFACE LAPTOP 2 - I7-8650U/8/256
0,29,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412DA-EK330T (TRANSPARENT SILVER)
0,30,NOTEBOOK (โน้ตบุ๊ค) HP 15S-EQ0000AU (SILVER)
0,31,NOTEBOOK (โน้ตบุ๊ค) DELL INSPIRON 7591-W567015003THW10 (SILVER)
0,32,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412DA-EK333T (TRANSPARENT SILVER)
0,33,NOTEBOOK (โน้ตบุ๊ค) DELL XPS 13-W56795604THW10 (SILVER)
0,34,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412DA-EK335T (PEACOCK BLUE)
0,35,NOTEBOOK (โน้ตบุ๊ค) ASUS LAPTOP 15 M509DA-EJ084T (GRAY)
0,36,NOTEBOOK (โน้ตบุ๊ค) HP 15S-FQ1001TU (SILVER)
0,37,NOTEBOOK (โน้ตบุ๊ค) LENOVO IDEAPAD S540-14API-81NH008QTA (MINERAL GRAY)
0,38,NOTEBOOK (โน้ตบุ๊ค) ASUS LAPTOP 14 X409FL-EK022T (TRANSPARENT SILVER)
0,39,NOTEBOOK (โน้ตบุ๊ค) ASUS M570DD-DM032T
0,40,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412DA-EK337T (SLATE GRAY)
0,41,NOTEBOOK (โน้ตบุ๊ค) DELL INSPIRON 7490-W56705107THW10 (ICE BERRY)
0,42,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412DA-EK338T (PEACOCK BLUE)
0,43,NOTEBOOK (โน้ตบุ๊ค) DELL INSPIRON 3585-W566015214B2THW10 (BLACK)
0,44,NOTEBOOK (โน้ตบุ๊ค) ASUS LAPTOP 15 X509FJ-BR012T (TRANSPARENT SILVER)
0,45,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412DA-EK331T (SLATE GRAY)
0,46,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412DA-EK336T (TRANSPARENT SILVER)
0,47,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 14 X412DA-EK334T (SLATE GRAY)
0,48,NOTEBOOK (โน้ตบุ๊ค) HP 15S-EQ0001AU (SILVER)
0,49,NOTEBOOK (โน้ตบุ๊ค) ACER SWIFT SF514-54GT-70Z0 (WHITE)
0,50,NOTEBOOK (โน้ตบุ๊ค) ASUS LAPTOP 14 X409FJ-BV002T (TRANSPARENT SILVER)
0,51,NOTEBOOK (โน้ตบุ๊ค) ASUS LAPTOP 14 X409FJ-BV003T (SLATE GRAY)
0,52,NOTEBOOK (โน้ตบุ๊ค) ASUS M509DA-EJ195T (SILVER)
0,53,NOTEBOOK (โน้ตบุ๊ค) ACER ASPIRE 3 A314-41-94GC (BLACK)
0,54,NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 15 X512DA-EJ1020T (PEACOCK BLUE)
