cpu air cooler พัดลมซีพียู deepcool iceedge mini fs	spin speed 	 220010 rpm	
cpu air cooler พัดลมซีพียู cryorig r1 universal	dimension 	 128.5 x 140 x 168.3 mm	
cpu air cooler พัดลมซีพียู cryorig r1 universal	fan speed 	 700 to 1300 rpm 10	
cpu air cooler พัดลมซีพียู id cooling se 802	spin speed 	 2200 rpm	
cpu air cooler พัดลมซีพียู id cooling se 802	dimensions 	 117 x 64 x 116 mm	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	product name 	 wraith ripper	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	product number 	 mam d7pn dwrps t1	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	cpu socket 	 amd tr4	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	dimensions 	 150 mm	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	heatsink material 	 7 heat pipes aluminum fins	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	lighting led type 	 addressable rgb	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	lighting control method 	 wraith ripper rgb software	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	lighting power connector 	 sata power	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	lighting interface 	 usb connector	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	fan dimensions 	 120 x 120 x 25 mm	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	fan quantity 	 1 pcs	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	fan speed 	 0 to 2750	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	fan air flow 	 76.4 cfm	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	fan mttf 	 490000 hours	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	fan noise level 	 0 to 38 dba	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	fan power connector 	 4 pin	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	fan rated voltage 	 12 vdc	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	fan rated current 	 0.45 a	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	fan safety current 	 0.6 a	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	ean code 	 4719512075074	
cpu air cooler พัดลมซีพียู cooler master wraith ripper amd tr4 	upc code 	 884102047565	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	product number 	 mam d6pn 120pa r1	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	cpu socket 	 lga2066 lga2011 v3 lga2011 lga1151 lga1150 lga1155 lga1156 am4 am3 am3 am2 am2 fm2 fm2 fm1	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	dimensions 	 135 x 125 x 165 mm 5.3 x 4.9 x 6.5 inch	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	heat sink material 	 6 heat pipes aluminum fins	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan dimensions 	 120 x 120 x 25 mm 4.7 x 4.7 x 1 inch	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan quantity 	 1 pcs	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan speed 	 650 to 2000 rpm	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan airflow 	 57.3 cfm	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan air pressure 	 2.0 mmh2o	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan mttf 	 160000 hours	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan noise level 	 8 to 30 dba	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan power connector 	 4 pin	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan rated voltage 	 12v dc	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan rated current 	 0.16 a	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan safety current 	 0.37a	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	fan power consumption 	 1.92 w	
cpu air cooler พัดลมซีพียู cooler master masterair ma620m	serie 	 masterair	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	product name 	 masterair ma410m tuf gaming edition	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	model 	 mam t4pn afnpc r1	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	cpu socket 	 intel lga 2066 2011 v3 2011 1366 1156 1155 1151 1150 socket	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	heat sink material 	 4 heat pipes cdc 2.0 aluminum fins	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	heat sink weight 	 820g	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	heat pipe dimensions 	 6 mm	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan dimensions 	 120 x 120 x 25 mm	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan speed 	 600 to 1800 rpm	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan air flow 	 53.38 cfm	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan air pressure 	 1.65mm h2o	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan mttf 	 40000 hours	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan noise level 	 6 to 31 dba	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan connector 	 4 pin	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan rated voltage 	 12 vdc	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan rated current 	 0.3 a	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan safety current 	 0.37 a	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	fan power consumption 	 3.6 w	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	warranty 	 5 years	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	ean code 	 4719512071076	
cpu air cooler พัดลมซีพียู cooler master ma410m tuf gaming	upc code 	 884102043574	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	compatibility 	 intel	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	amd	 socket am2 am3 am4 fm1 fm2	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	dimensions	 136 x 154 x 85 mm	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	weight	 645 g 22.8 oz	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	accessory	 mounting parts for intel and amd sockets fan fan clips thermal grease installation manual.	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	model name	 kaze flex 120 pwm	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	fan size	 120 x 120 x 27 mm 4.72 x 4.72 x 1.06 mm	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	noise level	 4.0 to 24.9 dba	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	air flow	 16.6 to 51.17 cfm	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	fan speed	 300 rpm	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	voltage current	 dc 12v 013a	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	static pressure	 0.75 to 10.3 pa 0.076 to 1.5 mmh o	
cpu air cooler พัดลมซีพียู scythe kotetsu mark ii rgb black 	bearing type	 sealed precision fdb	
cpu air cooler พัดลมซีพียู deepcool neptwin rgb	intel 	 lga20xx 1151 1150 1155 lga775 lga1366	
